Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
acceptAlert,Firefox 56.0,10. Input text into prompt popup - Linh Test,2018-11-16 03:24:00,2018-11-16 03:24:00,0.048s,PASSED
scrollToElement,Firefox 56.0,,2018-11-16 03:24:00,2018-11-16 03:24:00,0.032s,PASSED
"Statement - Result = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([""You have entered '"", String_Input, ""' !""], STOP_ON_FAILURE)",Firefox 56.0,11. Verify inputted text,2018-11-16 03:24:00,2018-11-16 03:24:00,0.010s,PASSED
verifyElementText,Firefox 56.0,,2018-11-16 03:24:00,2018-11-16 03:24:00,0.022s,PASSED
closeBrowser,Firefox 56.0,,2018-11-16 03:24:00,2018-11-16 03:24:00,0.319s,PASSED
,,,,,,
Test Cases/Text,Firefox 56.0,,2018-11-16 03:24:00,2018-11-16 03:24:45,45.275s,PASSED
openBrowser,Firefox 56.0,,2018-11-16 03:24:00,2018-11-16 03:24:05,5.147s,PASSED
navigateToUrl,Firefox 56.0,1. Go to [Simple Form Demo] Screen,2018-11-16 03:24:05,2018-11-16 03:24:08,2.778s,PASSED
waitForElementVisible,Firefox 56.0,,2018-11-16 03:24:08,2018-11-16 03:24:08,0.084s,PASSED
verifyElementText,Firefox 56.0,2. Verify text [This would be your first example to start with Selenium.] with specified value,2018-11-16 03:24:08,2018-11-16 03:24:08,0.046s,PASSED
com.database.DemoMySql.connectDB,Firefox 56.0,3. Verify text [This would be your first example to start with Selenium.] with result getting from database,2018-11-16 03:24:08,2018-11-16 03:24:42,33.594s,PASSED
"Statement - queryResult = CustomKeywords.com.database.DemoMySql.executeQuery(""SELECT Description FROM Static_Content"")",Firefox 56.0,,2018-11-16 03:24:42,2018-11-16 03:24:42,0.534s,PASSED
Statement - queryResult.next(),Firefox 56.0,,2018-11-16 03:24:42,2018-11-16 03:24:42,0.052s,PASSED
Statement - valueFromDatabase = queryResult.getString(1),Firefox 56.0,,2018-11-16 03:24:42,2018-11-16 03:24:42,0.000s,PASSED
Statement - println(valueFromDatabase),Firefox 56.0,,2018-11-16 03:24:42,2018-11-16 03:24:42,0.000s,PASSED
verifyMatch,Firefox 56.0,,2018-11-16 03:24:42,2018-11-16 03:24:42,0.016s,PASSED
com.database.DemoMySql.closeDatabaseConnection,Firefox 56.0,,2018-11-16 03:24:42,2018-11-16 03:24:42,0.000s,PASSED
Statement - response = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/SelEasy/GET),Firefox 56.0,4. Verify text [This would be your first example to start with Selenium.] with result getting from WS,2018-11-16 03:24:42,2018-11-16 03:24:43,0.017s,PASSED
Statement - params = new java.util.ArrayList(),Firefox 56.0,,2018-11-16 03:24:43,2018-11-16 03:24:43,0.000s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(upc, com.kms.katalon.core.testobject.ConditionType.EQUALS, 22369700000))",Firefox 56.0,,2018-11-16 03:24:43,2018-11-16 03:24:43,0.001s,PASSED
Statement - response.setRestParameters(params),Firefox 56.0,,2018-11-16 03:24:43,2018-11-16 03:24:43,0.009s,PASSED
Statement - headerparams = new java.util.ArrayList(),Firefox 56.0,,2018-11-16 03:24:43,2018-11-16 03:24:43,0.000s,PASSED
"Statement - headerparams.add(new com.kms.katalon.core.testobject.TestObjectProperty(apikey, com.kms.katalon.core.testobject.ConditionType.EQUALS, l7xxad8578ca824c49d998247d31d4efabfb))",Firefox 56.0,,2018-11-16 03:24:43,2018-11-16 03:24:43,0.000s,PASSED
Statement - response.setHttpHeaderProperties(headerparams),Firefox 56.0,,2018-11-16 03:24:43,2018-11-16 03:24:43,0.000s,PASSED
Statement - result = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(response),Firefox 56.0,,2018-11-16 03:24:43,2018-11-16 03:24:45,2.606s,PASSED
verifyElementPropertyValue,Firefox 56.0,,2018-11-16 03:24:45,2018-11-16 03:24:45,0.090s,PASSED
