Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
verifyElementText,Firefox 56.0,8. Verify you clicked on [Cancel],2018-11-16 03:15:17,2018-11-16 03:15:17,0.025s,PASSED
delay,Firefox 56.0,,2018-11-16 03:15:17,2018-11-16 03:15:19,2.003s,PASSED
scrollToElement,Firefox 56.0,,2018-11-16 03:15:19,2018-11-16 03:15:19,0.080s,PASSED
click,Firefox 56.0,9. Click on [Click for Prompt Box] button,2018-11-16 03:15:19,2018-11-16 03:15:19,0.084s,PASSED
delay,Firefox 56.0,,2018-11-16 03:15:19,2018-11-16 03:15:21,2.001s,PASSED
setAlertText,Firefox 56.0,,2018-11-16 03:15:21,2018-11-16 03:15:21,0.082s,PASSED
delay,Firefox 56.0,,2018-11-16 03:15:21,2018-11-16 03:15:23,2.002s,PASSED
acceptAlert,Firefox 56.0,10. Input text into prompt popup - Linh Test,2018-11-16 03:15:23,2018-11-16 03:15:23,0.084s,PASSED
scrollToElement,Firefox 56.0,,2018-11-16 03:15:23,2018-11-16 03:15:23,0.015s,PASSED
"Statement - Result = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([""You have entered '"", String_Input, ""' !""], STOP_ON_FAILURE)",Firefox 56.0,11. Verify inputted text,2018-11-16 03:15:23,2018-11-16 03:15:23,0.002s,PASSED
verifyElementText,Firefox 56.0,,2018-11-16 03:15:23,2018-11-16 03:15:23,0.031s,PASSED
closeBrowser,Firefox 56.0,,2018-11-16 03:15:23,2018-11-16 03:15:24,0.332s,PASSED
,,,,,,
Test Cases/Text,Firefox 56.0,,2018-11-16 03:15:24,2018-11-16 03:16:30,1m - 6.361s,PASSED
openBrowser,Firefox 56.0,,2018-11-16 03:15:24,2018-11-16 03:15:29,5.127s,PASSED
navigateToUrl,Firefox 56.0,1. Go to [Simple Form Demo] Screen,2018-11-16 03:15:29,2018-11-16 03:15:32,2.464s,PASSED
waitForElementVisible,Firefox 56.0,,2018-11-16 03:15:32,2018-11-16 03:15:32,0.080s,PASSED
verifyElementText,Firefox 56.0,2. Verify text [This would be your first example to start with Selenium.] with specified value,2018-11-16 03:15:32,2018-11-16 03:15:32,0.049s,PASSED
com.database.DemoMySql.connectDB,Firefox 56.0,3. Verify text [This would be your first example to start with Selenium.] with result getting from database,2018-11-16 03:15:32,2018-11-16 03:16:27,55.345s,PASSED
"Statement - queryResult = CustomKeywords.com.database.DemoMySql.executeQuery(""SELECT Description FROM Static_Content"")",Firefox 56.0,,2018-11-16 03:16:27,2018-11-16 03:16:28,0.523s,PASSED
Statement - queryResult.next(),Firefox 56.0,,2018-11-16 03:16:28,2018-11-16 03:16:28,0.041s,PASSED
Statement - valueFromDatabase = queryResult.getString(1),Firefox 56.0,,2018-11-16 03:16:28,2018-11-16 03:16:28,0.000s,PASSED
Statement - println(valueFromDatabase),Firefox 56.0,,2018-11-16 03:16:28,2018-11-16 03:16:28,0.015s,PASSED
verifyMatch,Firefox 56.0,,2018-11-16 03:16:28,2018-11-16 03:16:28,0.000s,PASSED
com.database.DemoMySql.closeDatabaseConnection,Firefox 56.0,,2018-11-16 03:16:28,2018-11-16 03:16:28,0.000s,PASSED
Statement - response = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/SelEasy/GET),Firefox 56.0,4. Verify text [This would be your first example to start with Selenium.] with result getting from WS,2018-11-16 03:16:28,2018-11-16 03:16:28,0.016s,PASSED
Statement - params = new java.util.ArrayList(),Firefox 56.0,,2018-11-16 03:16:28,2018-11-16 03:16:28,0.006s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(upc, com.kms.katalon.core.testobject.ConditionType.EQUALS, 22369700000))",Firefox 56.0,,2018-11-16 03:16:28,2018-11-16 03:16:28,0.002s,PASSED
Statement - response.setRestParameters(params),Firefox 56.0,,2018-11-16 03:16:28,2018-11-16 03:16:28,0.000s,PASSED
Statement - headerparams = new java.util.ArrayList(),Firefox 56.0,,2018-11-16 03:16:28,2018-11-16 03:16:28,0.015s,PASSED
"Statement - headerparams.add(new com.kms.katalon.core.testobject.TestObjectProperty(apikey, com.kms.katalon.core.testobject.ConditionType.EQUALS, l7xxad8578ca824c49d998247d31d4efabfb))",Firefox 56.0,,2018-11-16 03:16:28,2018-11-16 03:16:28,0.000s,PASSED
Statement - response.setHttpHeaderProperties(headerparams),Firefox 56.0,,2018-11-16 03:16:28,2018-11-16 03:16:28,0.000s,PASSED
Statement - result = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(response),Firefox 56.0,,2018-11-16 03:16:28,2018-11-16 03:16:30,2.263s,PASSED
verifyElementPropertyValue,Firefox 56.0,,2018-11-16 03:16:30,2018-11-16 03:16:30,0.102s,PASSED
